[2024-11-25T17:49:19.285+0000] {taskinstance.py:1159} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: drift_detection_dag.detect_file manual__2024-11-25T17:49:10.430172+00:00 [queued]>
[2024-11-25T17:49:19.301+0000] {taskinstance.py:1159} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: drift_detection_dag.detect_file manual__2024-11-25T17:49:10.430172+00:00 [queued]>
[2024-11-25T17:49:19.301+0000] {taskinstance.py:1361} INFO - Starting attempt 1 of 1
[2024-11-25T19:02:23.522+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc3893edb80>
[2024-11-25T19:03:23.542+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc3893edb80>
[2024-11-25T19:04:23.601+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc3893edb80>
[2024-11-25T19:05:23.658+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc3893edb80>
[2024-11-25T19:06:23.667+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc3893edb80>
[2024-11-25T19:07:23.725+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc3893edb80>
[2024-11-25T19:08:23.783+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc3893edb80>
[2024-11-25T19:09:23.841+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc3893edb80>
[2024-11-25T19:10:23.899+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc3893edb80>
[2024-11-25T19:11:23.960+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc3893edb80>
[2024-11-25T19:12:24.015+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc3893edb80>
[2024-11-25T19:13:24.074+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc3893edb80>
[2024-11-25T19:14:24.132+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc3893edb80>
[2024-11-25T19:15:24.171+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc3893edb80>
[2024-11-25T19:16:24.182+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc3893edb80>
[2024-11-25T19:17:24.240+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc3893edb80>
[2024-11-25T19:18:24.294+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc3893edb80>
[2024-11-25T19:19:24.352+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc3893edb80>
[2024-11-25T19:20:24.367+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc3893edb80>
[2024-11-25T19:21:24.430+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc3893edb80>
[2024-11-25T19:22:24.517+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc3893edb80>
