[2024-11-25T17:22:33.156+0000] {taskinstance.py:1159} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: drift_detection_dag.detect_file scheduled__2024-11-24T16:00:00+00:00 [queued]>
[2024-11-25T17:22:33.196+0000] {taskinstance.py:1159} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: drift_detection_dag.detect_file scheduled__2024-11-24T16:00:00+00:00 [queued]>
[2024-11-25T17:22:33.197+0000] {taskinstance.py:1361} INFO - Starting attempt 1 of 1
[2024-11-25T18:38:37.790+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T18:39:37.847+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T18:40:37.905+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T18:41:37.967+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T18:42:38.024+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T18:43:38.079+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T18:44:38.136+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T18:45:38.196+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T18:46:38.252+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T18:47:38.311+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T18:48:38.371+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T18:49:38.421+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T18:50:38.474+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T18:51:38.532+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T18:52:38.591+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T18:53:38.649+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T18:54:38.707+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T18:55:38.765+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T18:56:38.819+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T18:57:38.872+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T18:58:38.931+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T18:59:38.993+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T19:00:39.077+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T19:01:39.135+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T19:02:39.182+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T19:03:39.235+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T19:04:39.290+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T19:05:39.348+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T19:06:39.406+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T19:07:39.468+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T19:08:39.523+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T19:09:39.581+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T19:10:39.639+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T19:11:39.696+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T19:12:39.755+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T19:13:39.817+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T19:14:39.872+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T19:15:39.929+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T19:16:39.988+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T19:17:40.046+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T19:18:40.104+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T19:19:40.164+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T19:20:40.167+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T19:21:40.229+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T19:22:40.290+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T19:23:40.344+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T19:24:40.402+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T19:25:40.455+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T19:26:40.495+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T19:27:40.547+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T19:28:40.605+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T19:29:40.667+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T19:30:40.722+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T19:31:40.779+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T19:32:40.838+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T19:33:40.896+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T19:34:40.954+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T19:35:41.009+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T19:36:41.074+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T19:37:41.139+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T19:38:41.200+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T19:39:41.258+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T19:40:41.312+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T19:41:41.360+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T19:42:41.418+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T19:43:41.476+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T19:44:41.534+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T19:45:41.579+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T19:46:41.641+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T19:47:41.702+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
